0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28
47,59,64,5,48,43,58,57,21,137,76,2,49,2,0,51,0,59,167,165
0,0,0,0,0,0,8,0,0,0,159,0,0,0,0,0,0,0,0,106
0,0,0,0,0,0,322,0,1,0,657,0,0,0,0,0,0,0,0,53
0,7,0,0,0,0,41,2,0,0,770,2,1,1,0,134,0,0,0,79
0,32,45,0,0,15,13,0,0,36,34,0,36,11,27,13,11,22,43,54
27,66,48,40,31,25,0,0,17,82,53,0,69,0,116,0,9,71,122,127
40,60,95,0,57,72,140,128,3,829,78,9,0,37,1,160,267,0,16,340
1,0,29,15,9,36,24,0,0,17,39,9,0,0,20,9,0,11,0,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
67,100,142,0,121,82,59,0,45,116,5,12,90,26,0,73,33,75,210,127
5,0,3,0,0,7,0,6,0,0,5,0,0,0,0,0,0,0,270,109
0,2,27,0,0,13,0,0,15,0,7,0,21,0,7,0,0,0,13,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,264
0,0,0,0,1,0,0,0,0,2,83,0,0,0,0,0,0,0,0,112
18,45,0,0,0,94,0,0,0,0,13,7,2,0,39,0,0,0,50,49
58,4,0,0,7,194,0,0,3,39,11,0,2,0,19,0,0,36,189,66
0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,19,0,0,12
0,28,0,11,0,0,0,1,7,0,0,0,0,12,0,0,0,0,60,59
7,8,8,9,3,0,3,0,0,0,5,0,0,0,0,4,0,0,5,0
0,0,0,0,0,0,0,0,0,58,26,2,0,0,0,2,7,1,1,221
15,0,1,5,0,27,5,10,0,1,20,0,0,0,10,7,0,0,44,0
0,0,0,0,0,0,5,0,0,0,104,1,0,0,0,0,0,0,0,84
0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,3,9
0,2,0,0,25,1,0,0,0,11,0,0,0,0,0,0,0,0,0,76
0,0,0,6,4,0,0,0,0,9,3,6,0,0,0,0,3,0,0,6
8,15,15,0,0,16,14,0,3,0,20,0,24,0,2,14,21,9,0,34
0,1,0,0,0,0,0,1,21,0,10,0,7,0,0,21,0,0,0,0
0,0,0,0,0,1,20,1,1,16,0,0,0,0,0,0,5,0,1,0
0,2,0,0,1,0,4,0,1,1,0,0,0,0,0,0,8,0,24,19
0,6,14,25,50,22,0,0,1,50,40,0,35,0,25,9,11,45,70,12
1,0,0,0,0,1,0,0,0,0,128,1,0,0,0,0,0,0,0,0
0,0,1,28,0,0,62,0,0,0,484,0,0,0,0,140,0,0,0,86
106,95,129,72,119,113,63,0,23,114,114,15,54,30,175,34,0,119,144,103
0,0,13,12,0,0,16,16,2,21,16,0,0,7,2,12,0,0,17,46
0,0,0,0,0,0,9,0,50,10,42,1,10,0,0,0,16,0,5,130
0,0,0,12,0,0,0,0,0,1,3,1,0,0,0,0,0,0,6,11
9,0,0,0,0,2,8,4,6,28,23,0,0,0,0,18,0,0,1,28
28,12,0,0,15,215,16,0,2,14,0,6,0,2,13,14,0,0,46,0
8,20,3,6,4,83,3,0,0,22,0,0,33,5,1,25,30,17,18,5
0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,301
0,12,52,1,7,0,0,0,0,0,0,63,0,0,1,0,15,0,26,12
16,0,53,1,46,69,78,0,0,0,23,29,0,74,67,0,39,0,83,80
2,0,3,0,1,7,0,0,7,0,5,4,4,1,0,9,0,8,7,12
7,21,12,4,10,1,27,20,11,32,0,2,8,7,2,14,7,20,0,21
0,2,0,0,0,0,0,0,0,18,0,0,0,5,0,8,3,0,33,0
0,0,1,0,0,0,2,0,0,0,21,0,0,7,0,0,0,0,0,46
0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0
1,0,0,0,0,0,23,0,0,0,1,4,0,0,0,0,3,1,0,0
0,0,4,1,0,9,3,0,0,0,9,2,6,0,0,3,14,0,0,1
0,1,0,0,1,0,0,0,0,0,8,0,8,5,1,0,0,1,22,0
0,0,0,0,0,12,0,0,0,0,11,5,16,0,0,0,3,9,0,0
0,0,4,0,0,0,0,0,0,1,571,0,0,0,0,0,0,0,0,145
2,0,30,0,4,2,3,0,26,27,53,0,0,0,5,0,6,0,0,66
